Name,Effect,Type,%
Sea Trader,Exchanges his modules and crew members for yours. He will select the possible exchanges: 3 module and 3 crew member exchanges.,Rare,
Elderly Care Home,You can drop crew members here for them to retire and get 50 coins for each. Additionally you can recruit up to 3 Centenarians for 50 coins each.,Rare,
Lengthy Expedition,There’s a very deep rift that could be full of treasure1 but it takes so long to explore that you have to continue without the explorers and they’ll catch up to you later. Send up to 3 crew members. After 2 battles they reappear. Each of them has a chance of bringing a new module+item with them equal to their best performance in the last battle they fought.,Rare,
Trinket Collector,You can sell any item for 2 coins each.,Rare,
Cursed Seaman,A desperate seaman offers you 12 coins if you can take a cursed item from him and keep it with you. If you accept you receive Pendant of Curse Water.,Rare,
Age-reversing Clinic,You can choose up to 3 crew members to turn into Lucky Baby.,Rare,
Chef Academy,Give up to 3 crew members Sushi Chef as their secondary trait.,Rare,
Mystical Temple Gate,They always appear in pairs in random Nodes of the same level. Enter one to reappear in the Node where the other gate is at no O2 cost.,Ultrarare,
Mystery Portal,Throw in up to 7 crew members modules or items to get another random crew members modules or items respectively.,Ultrarare,
Interdimensional Wormhole,Choose to enter it to move to a parallel reality permanently which resets all events in the Node Map.,Ultrarare,
Oceanic Trespasser,This powerful character can make you skip several nodes down the level in exchange for a great amount of coins. Price: straight down 5 nodes for 500 coins.,Ultrarare,
Sage of the Seas,This legend of the seas will challenge your ship to a very hard battle against his team of guardian tritons. This battle doesn’t affect your ship’s HP/lives after this battle. And you can return to this node to try again in the future. If you win he will reveal two Ultra Rare Event locations that suddenly appear in nearby nodes.,Ultrarare,
Unimaginable Treasure,Find a legendary age-lost golden treasure that contains 20 coins.,Ultrarare,
Atlantis,Hidden city blooming with life with the biggest market ever loaded with items and 3 crew members of each profession.,Ultrarare,
Blacksmith of the Depths,Mythical blacksmith hidden deep in the ocean that can craft the most unnatural armors. Select a crew member and they will receive a special armor that will allow them to hold 3 items.,Ultrarare,
Monumental Exchange,A mysterious captain will offer you their ship in exchange for yours. Their ship is similar to yours but has a different layout and every type of module every profession and trait are swapped for another random module type profession and trait.,Ultrarare,
Monstrous Advisor,For 1 coin reveals the name and location of the boss in this level of the sea,Ultrarare,
Draconic Chariot,This mythical traveler of the seas will offer to carry your ship forward for 20 node trips (no O2 expenditure) at the cost of 400 coins.,Ultrarare,
Impossible Fire,3 of your modules at random are set on fire permanently. This magic fire won’t harm your crew members but will harm the enemy on hit as usual. This fire can’t be changed to other module statuses but damaged inactive and unstable might be added to this status.,Ultrarare,
Gigantic School of Fish,Receive 5/10/15/20/25 Tasty Seafood depending on level depth.,Ultrarare,
Banished Engineer,Engineer so crazy and deranged that he was banished from his society ages ago. Will build a revealed but randomly chosen Legendary module for 8 coins.,Ultrarare,
Selfless Whales,Gain the module Selfless Whale.,Ultrarare,
Elite Mercenaries,For 2 coins per battle you can have 3 mercenaries which are crew members with 70% base performance1 8 max HP and one Erudite Trait.,Ultrarare,
Geyser of Eternal Youth,Place a crew member in the geyser1 only once. They become immortal.,Ultrarare,
Ancient Trench,You find 11 21 3 or 4 Fossils.,Explorer,
Trinket Merchant,Give 1 coin to receive a random item1 up to 3 times.,Explorer,
Bargain Marketplace,Will sell modules and crew members for half the usual price. However1 the modules will have status problems often and the crew members will often be Sick and have only 2 HP.,Explorer,
Antique Shop,Buy from a selection of 6 rare items for 1 coin each. // too similar to Trinket Merchant,Explorer,
Training Academy,For 6 coins1 +10% base performance to 3 crew members.,Explorer,
Explorer’s Tunnel,You can teleport to a nearby Explorer Event and back.,Explorer,
Triton Colony,Gain 2 Selfless Triton crew members.,Explorer,
Worried Ape Couple,An ape couple is worried because their son has been kidnapped by a nearby creature. If you defeat the creature and rescue their son1 the father will feel indebted to you and join your crew1 then you gain 1 Super Intelligent Ape crew member.,Explorer,
Colony of Manfish,Defeat lots of weak Manfish and then their Lord Manfish will finally appear asking that you stop hurting his creatures and in exchange he will join your crew.,Explorer,
Supernatural Rift,You can hire one of 3 supernatural creatures as a crew member for 6 coins: Burned Captain1 Snow Mermaid or Wild Coralman.,Explorer,
Shark Hunting Grounds,Leave up to 5 crew members here. If you return after visiting at least 3 other nodes1 each of them has a 50% chance of having died and a 50% chance of being transformed into a Vicious Sharkman.,Explorer,
Surprise Seller,Sells for 9 coins a mystery bundle of crew members1 modules and items. You receive 3 things1 with 2 items counting as one thing.,Explorer,
Magic Campus,Select a profession. All of your crew members of this profession will permanently change to another random profession but the same for all.,Explorer,
Ape-infested Jungle,Jungle where loads of apes live1 with diving helmets1 some smarter than others. Send one crew member to explore the jungle and try to befriend the apes. Return after spending 2 Fuel to receive Monkey Apprentice or Brute Gorilla.,Explorer,
Sunken Ruins,If you enter them1 find a Summoning Rune1 Human Skeleton1 Enchanted Wood1 Pendant of Cursed Water o Cursed Vase.,Explorer,
